lines_per_draw,cost_per_draw,mean_fixed_prize_return_per_draw,return_per_dollar,std_return_per_draw,game
1,3.0,0.26213333333333333,0.08737777777777778,1.6228943636464932,649
5,15.0,1.2983166666666666,0.08655444444444443,3.587565167778218,649
20,60.0,5.256166666666667,0.08760277777777778,7.230436499425345,649
50,150.0,13.107516666666667,0.08738344444444444,11.428294864052214,649
1,1.5,0.3153166666666667,0.21021111111111113,1.8823280088909995,max
5,7.5,1.579,0.21053333333333332,4.217612950473288,max
20,30.0,6.298983333333333,0.2099661111111111,8.397086337914413,max
50,75.0,15.818866666666667,0.21091822222222223,13.323023582588984,max
1,3.0,5.16406,1.7213533333333333,17.356616153974255,grand
5,15.0,27.586,1.8390666666666666,913.8209189208427,grand
20,60.0,109.90840666666666,1.8318067777777778,1827.4128270455642,grand
50,150.0,268.45594,1.7897062666666665,2239.5687772780534,grand
